Order,Site,RFID Date,LEFT,RIGHT,RFID number,OLD RFID,Sex,Age_TOIC,Notes,Breeding 2018,Breeding 2017,Breeding 2016,Breeding 2015,Detected_18_19,Detected_17_18,Detected_16_17,Detected_15_16,Detected_14_15,Detected_April_16,Detected_May_16,Recap_F18_19,Recap F17_18,Recap F16_17,Recap F15_16,Recap F14_15,,,Present_17_18,Present_16_17,Present_15_16,Present_14_15,Nonbreeding_18_19,Breeding_18,Nonbreeding_17_18,Breeding_17,Nonbreeding_16_17,Breeding_16,Nonbreeding_15_16,Breeding_15,Nonbreeding_14_15,Remove_18_19
104,H,42179,LB/Blue,R PT,0700EDFA13,,M,adult,,,,,BOX 7 H,N,N,N,N,,,,,,,Y - F2H 10/7; F2H 10/14,,,,0,0,1,1,0,0,0,0,0,0,1,1,1,N
105,H,42179,LG/Blue,R PT,0700EDDE2F,,M,adult,,BOX 33-2 H,BOX 20 H,BOX 17-2 H; BOX 18 H,BOX 33-4 H,Y,Y,Y,Y,,Y-HEAR 3,,,,Y-F4H 12/26/2016,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,N
106,H,42179,R PT,O/Blue,0700EDF8A1,,F,adult,,,BOX 18A H,BOX 8A H,BOX 1 H,N,Y,Y,Y,,Y-HEAR 1,Y-HEAR 1,,F1H 12/13,,Y-F1H 9/7/15; F1H 9/21/15; F1H 10/7,,,,1,1,1,1,0,0,1,1,1,1,1,1,1,N
107,H,42179,R PT,Grey/Blue,0300026CA0,,F,adult,,BOX 4A H,BOX 5A H,BOX 4A H,BOX 4A H,N,N,N,Y,,Y-HEAR 1,,,F2H 9/8; F1H 12/22/17,,Y-F1H 10/30/15,,,,1,1,1,1,0,1,1,1,0,1,1,1,1,N
108,H,42179,Y/Blue,R PT,0300019F10,,F,adult,,,,BOX 17-2 H; BOX 18 H,BOX 33-4 H,N,N,N,N,,,,,,,,,,,0,0,1,1,0,0,0,0,0,1,0,1,1,N
109,H,42181,Grey/Blue,R PT,0300034DB4,,F,adult,,,,BOX 17-1 H,BOX 14 H,N,N,N,N,,,,,,Y-F2H 12/22/2016,,,,,0,1,1,1,0,0,0,0,1,1,0,1,1,N
110,H,42181,O/Blue,R PT,0700EE3582,,M,adult,,BOX 13 H,BOX 15 H,BOX 33 H,BOX 14 H,N,N,N,N,,,,,,,,,,,1,1,1,1,0,1,0,1,0,1,0,1,1,N
111,H,42181,R PT,G/LB,030001EA7A,,M,adult,,,,,BOX 12A H,N,N,N,N,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
112,H,42181,R PT,G/LG,0700EE3BE9,,F,adult,,,,,BOX 12A H,N,N,N,N,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
113,H,42181,R PT,G/Black,0700EE0D2C,,M,adult,,,,,BOX 8A H,N,N,N,Y,,,,,,,Y-F1H 9/7; F2 11/11,,,,0,0,1,1,0,0,0,0,0,0,1,1,1,N
114,H,42181,R PT,G/O,0700EDB659,,F,adult,,,,,BOX 8A H,N,N,N,Y,,,,,,,Y-F2H 10/30,,,,0,0,1,1,0,0,0,0,0,0,1,1,1,N
115,H,42181,R/S2540-39410,Y PT,0300023011,,F,adult,DUPLICATE COLOR CODE,,,,BOX 22-1 H,N,N,N,Y,,,,,,,Y-F2H 9/21/15,,,,0,0,1,1,0,0,0,0,0,0,1,1,1,N
116,H,42183,G/Black,R PT,0700EE03DE,,F,adult,,,,BOX 20 H,BOX 18-2 H,N,N,N,Y,,Y-HEAR 3,,,,,,,,,0,0,1,1,0,0,0,0,0,1,1,1,1,N
